FLARE_IDX,CME_IDX,SEP_IDX,Observer,Start Time at Observer (GOES),Start Time at Observer (STIX),Peak Time at Observer (GOES),Peak Time at Observer (STIX),End Time at Observer (GOES),End Time at Observer (STIX),GOES Flare Class,Estimated GOES Flare Class for STIX,GOES HGS LON,GOES HGS LAT,STIX HGS LON,STIX HGS LAT,GOES Distance (AU),STIX Distance (AU),Active Region,Start Time at 1 AU (GOES),Start Time at 1 AU (STIX),Peak Time at 1 AU (GOES),Peak Time at 1 AU (STIX),End Time at 1 AU (GOES),End Time at 1 AU (STIX),Start Time at the Sun (GOES),Start Time at the Sun (STIX),Peak Time at the Sun (GOES),Peak Time at the Sun (STIX),End Time at the Sun (GOES),End Time at the Sun (STIX),IP Radio Bursts,Decametric Type II Burst Start Time (UT) (HH:MM),Decametric Type II Burst End Time (UT) (HH:MM),Decametric type II burst frequency range (MHz),Radio Comments
FLARE0020,,,STIX,,2022-05-02 09:19:20,,2022-05-02 09:28:28,,2022-05-02 10:06:08,,M9,,,118.0,17.0,,0.705,,,2022-05-02 09:21:48,,2022-05-02 09:30:56,,2022-05-02 10:08:36,,2022-05-02 09:13:29,,2022-05-02 09:22:37,,2022-05-02 10:00:17,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220502.png,,,,
FLARE0021,,,GOES,2022-05-03 13:09:00,,2022-05-03 13:25:00,,2022-05-03 13:31:00,,X1.1,,-5.0,-16.0,,,1.0,,13004.0,2022-05-03 13:09:00,,2022-05-03 13:25:00,,2022-05-03 13:31:00,,2022-05-03 13:00:41,,2022-05-03 13:16:41,,2022-05-03 13:22:41,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220503.png,,,,
FLARE0022,,,GOES,2022-05-04 00:08:00,,2022-05-04 00:19:00,,2022-05-04 00:25:00,,M5.3,,,,,,1.0,,,2022-05-04 00:08:00,,2022-05-04 00:19:00,,2022-05-04 00:25:00,,2022-05-03 23:59:41,,2022-05-04 00:10:41,,2022-05-04 00:16:41,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220504.png,,,,
FLARE0023,,,GOES,2022-05-04 08:45:00,,2022-05-04 08:59:00,,2022-05-04 09:10:00,,M5.7,,9.0,-16.0,,,1.0,,13004.0,2022-05-04 08:45:00,,2022-05-04 08:59:00,,2022-05-04 09:10:00,,2022-05-04 08:36:41,,2022-05-04 08:50:41,,2022-05-04 09:01:41,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220504.png,,,,
FLARE0024,,,STIX,,2022-05-04 14:14:35,,2022-05-04 15:15:27,,2022-05-04 16:06:11,,M9,,,149.0,19.0,,0.728,,,2022-05-04 14:16:51,,2022-05-04 15:17:43,,2022-05-04 16:08:27,,2022-05-04 14:08:32,,2022-05-04 15:09:24,,2022-05-04 16:00:08,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220504.png,,,,
FLARE0025,,,STIX,,2022-05-05 07:46:03,,2022-05-05 08:05:11,,2022-05-05 08:48:47,,M6,,,159.0,16.0,,0.734,,,2022-05-05 07:48:16,,2022-05-05 08:07:24,,2022-05-05 08:51:00,,2022-05-05 07:39:57,,2022-05-05 07:59:05,,2022-05-05 08:42:41,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220505.png,,,,
FLARE0026,,,STIX,,2022-05-05 18:06:43,,2022-05-05 18:11:55,,2022-05-05 18:22:03,,M7,,,165.0,19.0,,0.738,,,2022-05-05 18:08:54,,2022-05-05 18:14:06,,2022-05-05 18:24:14,,2022-05-05 18:00:35,,2022-05-05 18:05:47,,2022-05-05 18:15:55,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220505.png,,,,
FLARE0027,,,STIX,,2022-05-05 21:39:03,,2022-05-05 21:43:07,,2022-05-05 22:29:07,,M9,,,167.0,16.0,,0.74,,,2022-05-05 21:41:13,,2022-05-05 21:45:17,,2022-05-05 22:31:17,,2022-05-05 21:32:54,,2022-05-05 21:36:58,,2022-05-05 22:22:58,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220505.png,,,,
FLARE0028,,,STIX,,2022-05-10 01:55:08,,2022-05-10 01:58:40,,2022-05-10 02:02:48,,M7,,,-138.0,18.0,,0.779,,,2022-05-10 01:56:59,,2022-05-10 02:00:31,,2022-05-10 02:04:39,,2022-05-10 01:48:40,,2022-05-10 01:52:12,,2022-05-10 01:56:20,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220510.png,,,,
FLARE0029,,,STIX,,2022-05-10 07:13:48,,2022-05-10 07:26:08,,2022-05-10 08:07:52,,M8,,,-154.0,14.0,,0.781,,,2022-05-10 07:15:38,,2022-05-10 07:27:58,,2022-05-10 08:09:42,,2022-05-10 07:07:19,,2022-05-10 07:19:39,,2022-05-10 08:01:23,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220510.png,,,,
